id,x_lead,v_lead,a_lead,x_follow,v_follow,a_follow,timestamps
1,0.0,5.420993591724349,-0.6242391060838633,-19.255263644224016,5.67165160210274,0.06682607762251523,0.0
1,0.5037037376713207,5.33441413826323,-0.6306457222844364,-18.690299161015517,5.682477546480357,0.13503053777090923,0.09999632
1,1.026775849666253,5.32224097050004,-0.6325914548162551,-18.102168598546633,5.684440202899345,0.2365982822566521,0.20006124
1,1.5373227287512916,5.269693445361276,-0.6271311324308795,-17.541720811567874,5.695180645985643,0.356753145184159,0.30021256
1,2.039018141307406,5.214610682201327,-0.6123940561258026,-16.982051734237555,5.711398070836882,0.4748622958531626,0.40039188
1,2.53552575224747,5.155445346045353,-0.5859915419143122,-16.389765479784746,5.741653535212356,0.5556769340547066,0.5005598
1,3.0203872414124526,5.0842598294363315,-0.5456349060946221,-15.8045925477246,5.778289083260528,0.6144450189597765,0.60070512
1,3.506029429077446,5.0340531174221965,-0.4894100914482634,-15.189395660844255,5.837553142718132,0.6801385101677988,0.70077444
1,3.9889485925708548,4.987400065575255,-0.4140907017528282,-14.54934151460716,5.934650137240164,0.7350477718292722,0.80075576
1,4.466489905522809,4.956684595453858,-0.3162538170981312,-13.920791347493761,6.028050133142957,0.772912932111749,0.90064468
1,4.945320950288876,4.918598973825731,-0.19926368592369986,-13.278998320063812,6.140413355929141,0.801207874607219,1.00047
4,0.0,15.397437470988653,0.05658464836532331,-43.74590561056861,15.730809755254892,-0.221232008374229,0.0
4,1.955552282373128,15.402246439648822,0.10127585066635296,-41.93044169596527,15.714972359464504,-0.2246985007400266,0.09998092
4,3.338637824616912,15.379180864292357,0.16591473646485877,-40.43666480413548,15.688013259969873,-0.2290132162681135,0.19991424
4,4.8430643839201295,15.399492280361624,0.23788671017715227,-38.8180613915254,15.694805437476965,-0.23410413315862383,0.29979556
4,6.331683377625456,15.446208256006917,0.30157222571615117,-37.283124685443056,15.679595712488007,-0.24001967086711917,0.39962848
4,7.771738560532227,15.477789181036744,0.33082206073412695,-35.7385258844429,15.660015977490518,-0.24675027157733673,0.49941066
4,9.2881001201671,15.526344320102297,0.33444716066373664,-34.23314838885075,15.617522660819182,-0.25441854715421086,0.59961198
4,10.851317847631003,15.581464677719618,0.3311122469677595,-32.74120713633641,15.569498947162405,-0.26323536475213705,0.6997973
4,12.416904047756997,15.60949933493481,0.30608793373308957,-31.246334843884693,15.552716652744278,-0.2732252886848777,0.79992622
4,13.988850438948802,15.641341449052081,0.2523968165814041,-29.654917681507907,15.553215901469743,-0.2844444376875353,0.90000654
4,15.583180418828288,15.663007429761853,0.1813270467174286,-28.120082520930037,15.507150117569031,-0.29479683408356694,1.00004986
4,17.16384008055376,15.66356060232294,0.10061408545113198,-26.52466792246647,15.470673445096777,-0.3011801969311912,1.10005378
4,18.73504990965596,15.668516305123758,0.02326044607010782,-24.999739803290986,15.409790843546382,-0.3018083170741677,1.2000141
4,20.21397205660005,15.651487735805071,-0.029556970398350743,-23.504516815068968,15.348830056165738,-0.293982886229201,1.29993442
4,21.663006772557946,15.633956331729344,-0.06607771147291837,-21.92953611712763,15.323649945195513,-0.2764258342947921,1.39982834
4,23.222449973547562,15.662979725904114,-0.10186312749403564,-20.42556599052869,15.305126794263117,-0.248754632662844,1.49973866
4,24.809490163638408,15.669494786698229,-0.1260601312107196,-18.94364661146127,15.276954553899984,-0.20796273315088112,1.59967798
4,26.40423209458153,15.644961138354885,-0.13445698866810696,-17.4641560849593,15.25964527855755,-0.1511824026563707,1.6996633
4,27.991617206295036,15.601635599948285,-0.13289334874935593,-15.974553002883766,15.240435756142244,-0.08582668820040275,1.79968822
4,29.513803310849678,15.573066286255619,-0.12270222082262162,-14.47913369755285,15.240464448976088,-0.022702684291083266,1.89976354
4,31.01324919859759,15.550931581750733,-0.11225752707392375,-12.951363867589473,15.247762224710142,0.03250289069571924,1.99987286
